"shapeid","x","y","id","name"
"121","-103.364885","20.7360382","638722749","Cetis 14"
"122","-103.3695674","20.7373155","638732607","Primaria Felipe Carrillo Puerto"
"123","-103.4307556","20.661617","649110150","PEMEX"
"124","-103.454798","20.7189407","649110152","NULL"
"125","-103.4517378","20.7313721","649110154","Petro 7"
"126","-103.4480233","20.7418814","649110159","NULL"
"127","-103.4479942","20.7419974","656636159","NULL"
"128","-103.2391501","20.6705035","663520947","NULL"
"129","-103.2394316","20.6700852","663520964","NULL"
"130","-103.2446783","20.6643137","663521185","NULL"
"131","-103.2450646","20.6654631","663521186","NULL"
"132","-103.245204","20.6648859","663521188","NULL"
"133","-103.2442063","20.6642032","663521190","NULL"
"134","-103.4239257","20.6535308","748110706","Soriana Tepeyac"
"135","-103.4046138","20.6669828","748110712","Soriana Chapalita"
"136","-103.4326189","20.657354","748110726","Soriana"
"137","-103.3060645","20.59677","750502981","NULL"
"138","-103.3280992","20.6754106","800823975","NULL"
"139","-103.3397326","20.6792906","800824442","NULL"
"140","-103.325348","20.6833548","800825653","NULL"
"141","-103.3262568","20.6807424","800895523","NULL"
"142","-103.2321433","20.66174","801391469","NULL"
"143","-103.3542518","20.6801387","801436648","NULL"
"144","-103.3542798","20.6794072","801436664","NULL"
"145","-103.3541188","20.683795","801436687","NULL"
"146","-103.3540867","20.684517","801436689","NULL"
"147","-103.3541658","20.6827766","801436693","NULL"
"148","-103.3539371","20.6897307","801436695","NULL"
"149","-103.3540036","20.6870438","801436710","NULL"
"150","-103.3366689","20.6849396","801504740","NULL"
"151","-103.3360167","20.6861546","801504750","NULL"
"152","-103.3376028","20.6831739","801504762","NULL"
"153","-103.3546893","20.6697082","801504775","NULL"
"154","-103.3546315","20.6741362","801504776","NULL"
"155","-103.3548325","20.6741334","801504789","NULL"
"156","-103.3548458","20.6734355","801504790","NULL"
"157","-103.3548559","20.6721856","801504792","NULL"
"158","-103.3548767","20.6697521","801504793","NULL"
"159","-103.3566815","20.6631794","801504795","NULL"
"160","-103.3484663","20.6945247","801546431","NULL"
"161","-103.3547493","20.6749748","801551300","Juárez"
"162","-103.3684105","20.6683701","803055731","NULL"
"163","-103.3688002","20.6754074","803055772","NULL"
"164","-103.3687601","20.6737304","803055774","NULL"
"165","-103.3686534","20.6692733","803055777","NULL"
"166","-103.355074","20.7070965","803078719","NULL"
"167","-103.355245","20.7071211","803078720","NULL"
"168","-103.3544017","20.715304","803078756","NULL"
"169","-103.354612","20.7155174","803078760","NULL"
"170","-103.3546468","20.7153543","803078761","NULL"
"171","-103.3550181","20.6995048","803078771","NULL"
"172","-103.3575692","20.7011334","803078773","NULL"
"173","-103.3575568","20.7009728","803078774","NULL"
"174","-103.3810235","20.7120475","803078778","NULL"
"175","-103.3540905","20.6931847","803079064","NULL"
"176","-103.3201177","20.6956257","815056395","NULL"
"177","-103.395896","20.7589157","815295973","NULL"
"178","-103.4626722","20.752852","815302488","NULL"
"179","-103.3816817","20.7119814","894346841","NULL"
"180","-103.4133685","20.634728","945599488","NULL"
"181","-103.3428066","20.6730722","962426208","NULL"
"182","-103.3318207","20.6938773","1024495788","NULL"
"183","-103.3281687","20.7002866","1033561348","NULL"
"184","-103.3298559","20.697082","1035838665","NULL"
"185","-103.330096","20.6970706","1035838788","NULL"
"186","-103.3331266","20.6944992","1035838822","Monumento al Cartero"
"187","-103.329913","20.6969816","1035838851","NULL"
"188","-103.3300433","20.6971715","1035838862","NULL"
"189","-103.3198831","20.6988978","1035838883","NULL"
"190","-103.4021316","20.6741738","1041108572","NULL"
"191","-103.3990416","20.672823","1041108648","NULL"
"192","-103.3979138","20.672754","1041108709","NULL"
"193","-103.4022239","20.6722807","1041108767","NULL"
"194","-103.3999133","20.6715217","1041108772","NULL"
"195","-103.3999724","20.6739104","1041108860","NULL"
"196","-103.4023168","20.6723382","1041108872","NULL"
"197","-103.3990281","20.6724699","1041108965","NULL"
"198","-103.4000683","20.6715152","1041108979","NULL"
"199","-103.3979196","20.6728464","1041108997","NULL"
"200","-103.3549584","20.6968178","1046168662","NULL"
"201","-103.4187373","20.6284574","1083338929","NULL"
"202","-103.4178066","20.6287825","1083338930","NULL"
"203","-103.415748","20.6312876","1083338931","NULL"
"204","-103.4160632","20.6314458","1083338932","NULL"
"205","-103.4556713","20.6886667","1111143504","PEMEX"
"206","-103.3352347","20.6871195","1111148142","Pemex"
"207","-103.4052334","20.648076","1111148143","PEMEX"
"208","-103.4243725","20.6797405","1111148145","PEMEX"
"209","-103.3630145","20.7048536","1111148149","PEMEX"
"210","-103.4208089","20.6784547","1111148152","PEMEX"
"211","-103.456989","20.6199208","1119973274","Sentro de Salud Santana Tepetitlan"
"212","-103.4528163","20.6931055","1119973296","Pemex"
"213","-103.4288901","20.678489","1122542310","NULL"
"214","-103.4295006","20.6764867","1122542472","NULL"
"215","-103.4276904","20.6799179","1122542520","NULL"
"216","-103.4199926","20.6862917","1124260451","Parrilla Steak"
"217","-103.3267577","20.7032404","1175080122","NULL"
"218","-103.3484052","20.6935645","1175106630","NULL"
"219","-103.3202903","20.7322437","1175794200","NULL"
"220","-103.3889592","20.6975419","1175813103","NULL"
"221","-103.3883091","20.7097376","1175814700","NULL"
"222","-103.3827301","20.6977281","1175824666","NULL"
"223","-103.4033633","20.7221795","1176104861","NULL"
"224","-103.3813924","20.720522","1176105574","NULL"
"225","-103.3614828","20.7164405","1176171491","NULL"
"226","-103.3073724","20.6911375","1176174776","NULL"
"227","-103.2948504","20.6983444","1176176991","NULL"
"228","-103.2947367","20.6986947","1176177902","NULL"
"229","-103.2940265","20.6986341","1176177912","NULL"
"230","-103.2939825","20.6982625","1176177919","NULL"
"231","-103.2856838","20.7018885","1176182314","NULL"
"232","-103.2939857","20.6985589","1176184536","NULL"
"233","-103.3792885","20.7498539","1180211158","NULL"
"234","-103.3827607","20.6974763","1180215233","NULL"
"235","-103.3810046","20.6320507","1180230696","NULL"
"236","-103.3730989","20.6425028","1180236534","NULL"
"237","-103.4302095","20.6788778","1190109202","NULL"
"238","-103.4318325","20.680768","1190109220","NULL"
"239","-103.4296377","20.6771914","1190109321","NULL"
"240","-103.4298487","20.6787025","1190109339","NULL"
"241","-103.4313858","20.6789875","1190109370","NULL"
"242","-103.4323969","20.6784283","1190109434","NULL"
"243","-103.430049","20.6803768","1190109499","NULL"
"244","-103.4293594","20.6793038","1190109522","NULL"
"245","-103.4305823","20.6781047","1190109658","NULL"
"246","-103.4301946","20.6803926","1190109700","NULL"
"247","-103.4303059","20.6790661","1190109747","NULL"
"248","-103.4296729","20.678685","1190109821","NULL"
"249","-103.4304565","20.6790902","1190109841","NULL"
"250","-103.4036626","20.675254","1190162539","NULL"
"251","-103.4037489","20.6749005","1190162664","NULL"
"252","-103.4141905","20.6781703","1190162793","NULL"
"253","-103.4160108","20.6981387","1193521664","NULL"
"254","-103.4152157","20.701962","1193521673","NULL"
"255","-103.4153465","20.6954986","1193521813","NULL"
"256","-103.41526","20.6908881","1193521847","NULL"
"257","-103.4155095","20.7011588","1193521870","NULL"
"258","-103.4157469","20.7000462","1193521888","NULL"
"259","-103.4163238","20.7078374","1193521896","NULL"
"260","-103.4149125","20.7048606","1193521917","NULL"
"261","-103.4159798","20.6989204","1193522047","NULL"
"262","-103.4147058","20.702955","1193522064","NULL"
"263","-103.4164461","20.706756","1193522069","NULL"
"264","-103.4141978","20.7039373","1193522100","NULL"
"265","-103.4156763","20.6964953","1193522198","NULL"
"266","-103.4152646","20.6931451","1193522227","NULL"
"267","-103.455654","20.7185989","1193534231","NULL"
"268","-103.4555369","20.7196262","1193534249","NULL"
"269","-103.4059191","20.7087011","1194621991","NULL"
